URL,AI Applications,Similarity Scores
/Users/winnie/Documents/GitHub/MedAI/Analysis&NLP/classify_by_AI_type/prev_failed_docs/Nov 18 2019 Gaedeke - LARA MAPS Presentation.pdf,[],{}
/Users/winnie/Documents/GitHub/MedAI/Analysis&NLP/classify_by_AI_type/prev_failed_docs/Overview_of_ISO_IEC_workshop_Wael.pdf,[],{}
