PDF Link
https://iipseries.org/assets/submission/iip2024C00ABFFDDFA1DAC.pdf
https://apps.legislature.ky.gov/CommitteeDocuments/7/12012/Nov%2018%202019%20Gaedeke%20-%20LARA%20MAPS%20Presentation.pdf
https://jtc1info.org/wp-content/uploads/2023/12/Overview_of_ISO_IEC_workshop_Wael.pdf
 
